model,fpr,tpr
岭回归,0.007245155855096883,0.7037037037037037
岭回归,0.007245155855096883,0.7160493827160493
岭回归,0.007582139848357203,0.7160493827160493
岭回归,0.007582139848357203,0.7407407407407407
岭回归,0.007750631844987363,0.7407407407407407
岭回归,0.007750631844987363,0.7530864197530864
岭回归,0.008424599831508003,0.7530864197530864
岭回归,0.008424599831508003,0.7654320987654321
岭回归,0.009098567818028643,0.7654320987654321
岭回归,0.009098567818028643,0.8024691358024691
岭回归,0.009435551811288963,0.8024691358024691
岭回归,0.009435551811288963,0.8271604938271605
岭回归,0.010109519797809604,0.8271604938271605
岭回归,0.010109519797809604,0.8395061728395061
岭回归,0.012131423757371525,0.8395061728395061
岭回归,0.012131423757371525,0.8518518518518519
岭回归,0.019713563605728728,0.8518518518518519
岭回归,0.019713563605728728,0.8641975308641975
岭回归,0.020724515585509688,0.8641975308641975
岭回归,0.020724515585509688,0.8765432098765432
岭回归,0.02122999157540017,0.8765432098765432
岭回归,0.02122999157540017,0.8888888888888888
岭回归,0.02240943555181129,0.8888888888888888
岭回归,0.02240943555181129,0.9012345679012346
岭回归,0.02611625947767481,0.9012345679012346
岭回归,0.02611625947767481,0.9135802469135802
岭回归,0.02729570345408593,0.9135802469135802
岭回归,0.02729570345408593,0.9259259259259259
岭回归,0.05425442291491154,0.9259259259259259
岭回归,0.05425442291491154,0.9382716049382716
岭回归,0.0729570345408593,0.9382716049382716
岭回归,0.0729570345408593,0.9506172839506173
岭回归,0.2350463352990733,0.9506172839506173
岭回归,0.2350463352990733,0.9629629629629629
岭回归,0.27278854254422913,0.9629629629629629
岭回归,0.27278854254422913,0.9753086419753086
岭回归,0.33681550126369,0.9753086419753086
岭回归,0.33681550126369,1.0
岭回归,1.0,1.0
